"data","curs"
"24.06.2017",59.6564
"23.06.2017",60.1482
"22.06.2017",60.0
"21.06.2017",58.5786
"20.06.2017",57.9585
"17.06.2017",57.7408
"16.06.2017",57.4437
"15.06.2017",57.0303
"14.06.2017",56.9096
"10.06.2017",57.002
"09.06.2017",56.9857
"08.06.2017",56.5878
"07.06.2017",56.6747
"06.06.2017",56.6152
"03.06.2017",56.6876
"02.06.2017",56.5373
"01.06.2017",56.6876
"31.05.2017",56.5168
"30.05.2017",56.7106
"27.05.2017",56.756
"26.05.2017",56.0701
"25.05.2017",56.2743
"24.05.2017",56.5552
"23.05.2017",56.4988
"20.05.2017",57.1602
"19.05.2017",57.4683
"18.05.2017",56.7383
"17.05.2017",56.2603
"16.05.2017",56.5258
"13.05.2017",57.164
"12.05.2017",57.1161
"11.05.2017",58.0824
"06.05.2017",58.5382
"05.05.2017",57.5714
"04.05.2017",57.0927
"03.05.2017",56.9518
"29.04.2017",56.9838
"28.04.2017",56.9707
"27.04.2017",56.3131
"26.04.2017",55.8453
"25.04.2017",56.0794
"22.04.2017",56.2307
"21.04.2017",56.4165
"20.04.2017",56.1753
"19.04.2017",55.9793
"18.04.2017",56.2505
"15.04.2017",56.2945
"14.04.2017",56.6019
"13.04.2017",56.7556
"12.04.2017",56.9552
"11.04.2017",57.3896
"08.04.2017",56.9201
"07.04.2017",56.4369
"06.04.2017",55.894
"05.04.2017",56.5553
"04.04.2017",56.1396
"01.04.2017",55.9606
"31.03.2017",56.3779
"30.03.2017",57.0241
"29.03.2017",56.9364
"28.03.2017",57.0233
"25.03.2017",57.4247
"24.03.2017",57.5228
"23.03.2017",57.636
"22.03.2017",57.2323
"21.03.2017",57.2847
"18.03.2017",57.9344
"17.03.2017",58.2437
"16.03.2017",59.1128
"15.03.2017",58.954
"14.03.2017",59.1327
"11.03.2017",59.2174
"10.03.2017",58.8318
"08.03.2017",58.263
"07.03.2017",58.337
"04.03.2017",58.9099
"03.03.2017",58.4067
"02.03.2017",58.3776
"01.03.2017",57.9627
"28.02.2017",57.9371
"23.02.2017",57.4762
"22.02.2017",57.859
"21.02.2017",58.0967
"18.02.2017",57.6342
"17.02.2017",57.1507
"16.02.2017",56.7719
"15.02.2017",57.7388
"14.02.2017",58.0619
"11.02.2017",58.8457
"10.02.2017",59.0235
"09.02.2017",59.5129
"08.02.2017",59.1933
"07.02.2017",58.7121
"04.02.2017",59.3137
"03.02.2017",59.9858
"02.02.2017",60.3099
"01.02.2017",60.0851
"31.01.2017",60.1618
"28.01.2017",60.3196
"27.01.2017",59.6356
"26.01.2017",59.1489
"25.01.2017",59.2168
"24.01.2017",59.5034
"21.01.2017",59.6697
"20.01.2017",59.3521
"19.01.2017",59.183
"18.01.2017",59.4015
"17.01.2017",59.6067
"14.01.2017",59.37
"13.01.2017",59.4978
"12.01.2017",60.1614
"11.01.2017",59.9533
"10.01.2017",59.8961
"31.12.2016",60.6569
"30.12.2016",60.273
"29.12.2016",60.6669
"28.12.2016",60.8587
"27.12.2016",60.9084
"24.12.2016",60.8528
"23.12.2016",60.8641
"22.12.2016",61.1092
"21.12.2016",61.7967
"20.12.2016",61.7931
"17.12.2016",61.7515
"16.12.2016",61.6368
"15.12.2016",60.8079
"14.12.2016",61.069
"13.12.2016",61.5804
"10.12.2016",63.3028
"09.12.2016",63.3901
"08.12.2016",63.9114
"07.12.2016",63.8741
"06.12.2016",63.9242
"03.12.2016",64.1528
"02.12.2016",63.6807
"01.12.2016",65.2382
"30.11.2016",64.9449
"29.11.2016",64.9153
"26.11.2016",64.6174
"25.11.2016",64.6279
"24.11.2016",64.0087
"23.11.2016",63.6282
"22.11.2016",64.358
"19.11.2016",65.1023
"18.11.2016",64.9154
"17.11.2016",64.5463
"16.11.2016",65.5548
"15.11.2016",65.8591
"12.11.2016",65.2167
"11.11.2016",63.4161
"10.11.2016",63.8928
"09.11.2016",63.7364
"08.11.2016",63.9074
"04.11.2016",63.5043
"03.11.2016",63.4166
"02.11.2016",63.2025
"01.11.2016",63.2174
"29.10.2016",62.9037
"28.10.2016",63.0399
"27.10.2016",62.2597
"26.10.2016",62.048
"25.10.2016",62.2349
"22.10.2016",62.4499
"21.10.2016",62.4194
"20.10.2016",62.5841
"19.10.2016",62.89
"18.10.2016",63.151
"15.10.2016",62.9934
"14.10.2016",63.3465
"13.10.2016",62.5892
"12.10.2016",62.1946
"11.10.2016",62.3884
"08.10.2016",62.3031
"07.10.2016",62.39
"06.10.2016",62.4583
"05.10.2016",62.4323
"04.10.2016",62.5477
"01.10.2016",63.396
"30.09.2016",63.1581
"29.09.2016",63.9509
"28.09.2016",63.6921
"27.09.2016",64.1506
